obs,wave,ageDiff,int_corr,imprace,samerace,match,dec,dec_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,goal,exphappy,expnum,attr,sinc,intel,fun,amb,shar,like,prob,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,you_call,them_cal,numdat_3
824,3,1,-0.34,10,1,1,1,1,60,15,0,15,0,10,6,9,8,6,8,6,9,3,2,3,9,12,10,9,9,8,8,7,8,7,10,20,20,15,20,10,0,0,
825,3,0,0.44,10,1,0,1,0,21,20,19,20,10,10,5,8,8,7,7,7,6,6,2,3,9,12,10,10,10,10,9,9,8,7,10,20,20,15,20,10,0,0,
826,3,0,-0.58,10,1,0,1,0,30,10,20,30,0,10,6,8,6,6,6,5,5,6,2,3,9,12,10,10,10,10,10,9,8,7,10,20,20,15,20,10,0,0,
827,3,3,0.34,10,1,0,0,0,30,0,30,30,10,0,7,6,6,8,6,5,5,2,2,3,9,12,8,9,10,10,9,10,9,8,10,20,20,15,20,10,0,0,
828,3,2,0.23,10,0,0,0,1,20,20,20,20,10,10,6,8,7,6,5,5,6,5,2,3,9,12,8,8,10,10,9,7,8,8,10,20,20,15,20,10,0,0,
829,3,29,,,0,0,0,1,20,25,15,15,53,20,5,8,8,,9,8,7,6,,,,,4,9,9,8,8,5,5,9,15,15,30,30,1,9,,,
830,3,22,,,0,0,1,0,20,15,20,20,5,10,,,,,,,,,,,,,7,7,8,5,,4,6,7,15,15,30,30,1,9,,,
831,3,27,,,0,0,1,0,21,17,22,20,8,13,6,7,5,6,5,6,7,0,2,,,,6,7,9,8,7,5,5,8,15,15,30,30,1,9,,,
832,3,28,,,0,0,1,0,50,10,30,10,0,0,4,7,4,2,3,1,1,1,2,,,,8,8,9,9,7,8,8,9,15,15,30,30,1,9,,,
833,3,26,,,0,0,0,0,25,10,20,20,15,10,6,6,7,8,6,7,6,2,2,,,,5,9,9,9,9,5,5,9,15,15,30,30,1,9,,,
834,3,21,,,0,1,1,1,60,15,0,15,0,10,6,7,6,8,9,6,6,2,2,,,,6,8,9,5,9,7,7,9,15,15,30,30,1,9,,,
835,3,22,,,0,0,0,1,21,20,19,20,10,10,6,7,7,7,6,6,6,4,2,,,,5,9,9,6,5,4,6,8,15,15,30,30,1,9,,,
836,3,22,,,0,0,0,0,30,10,20,30,0,10,5,7,7,6,6,5,4,4,2,,,,4,8,8,7,8,4,4,8,15,15,30,30,1,9,,,
837,3,25,,,0,1,1,1,30,0,30,30,10,0,8,8,7,8,5,9,7,6,2,,,,6,5,9,4,8,5,5,8,15,15,30,30,1,9,,,
838,3,24,,,0,0,0,1,20,20,20,20,10,10,7,6,6,6,8,5,6,5,2,,,,5,5,9,5,5,4,4,8,15,15,30,30,1,9,,,
839,3,29,,,0,0,0,0,20,25,15,15,53,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,3,22,,,0,0,0,0,20,15,20,20,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,3,27,,,0,0,0,0,21,17,22,20,8,13,5,7,6,4,4,6,5,0,2,,,,3,4,9,2,9,6,3,3,,,,,,,,,
842,3,28,,,0,0,0,0,50,10,30,10,0,0,5,8,6,6,,4,6,4,2,,,,6,4,6,6,6,4,6,8,,,,,,,,,
843,3,26,,,0,0,0,0,25,10,20,20,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,3,21,,,0,0,0,0,60,15,0,15,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,3,22,,,0,0,0,0,21,20,19,20,10,10,6,7,7,3,5,3,3,3,2,,,,6,6,0,0,2,2,0,4,,,,,,,,,
846,3,22,,,0,0,0,0,30,10,20,30,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,3,25,,,0,0,0,0,30,0,30,30,10,0,7,7,7,2,3,2,3,1,2,,,,0,2,3,0,5,0,0,2,,,,,,,,,
848,3,24,,,0,0,0,0,20,20,20,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,3,0,0.16,3,0,1,1,1,20,25,15,15,53,20,5,8,7,8,8,6,6,6,2,4,4,10,9,10,10,5,,,8,5,,,,,,,,,
850,3,7,0.03,3,1,0,0,0,20,15,20,20,5,10,6,6,5,10,7,6,6,5,2,4,4,10,7,10,10,3,,3,4,2,,,,,,,,,
851,3,2,0.28,3,0,0,0,0,21,17,22,20,8,13,3,6,5,4,6,4,4,5,2,4,4,10,5,1,9,1,1,1,2,1,,,,,,,,,
852,3,1,0.12,3,0,0,1,0,50,10,30,10,0,0,4,7,7,4,4,,3,3,2,4,4,10,9,9,10,9,,4,9,6,,,,,,,,,
853,3,3,0.45,3,0,0,0,0,25,10,20,20,15,10,6,6,6,8,6,5,7,2,2,4,4,10,6,10,10,8,8,8,6,2,,,,,,,,,
854,3,8,-0.34,3,0,0,0,0,60,15,0,15,0,10,4,8,6,6,5,1,2,0,2,4,4,10,2,10,10,1,7,2,3,1,,,,,,,,,
855,3,7,0.61,3,0,0,0,0,21,20,19,20,10,10,5,8,7,6,5,5,5,6,2,4,4,10,10,4,8,1,1,3,3,1,,,,,,,,,
856,3,7,-0.13,3,0,0,1,0,30,10,20,30,0,10,4,7,6,6,7,5,5,7,2,4,4,10,7,10,10,9,,4,8,4,,,,,,,,,
857,3,4,0.41,3,0,0,1,0,30,0,30,30,10,0,6,8,8,7,7,5,5,1,2,4,4,10,9,10,10,9,10,8,8,8,,,,,,,,,
858,3,5,0.29,3,1,0,0,1,20,20,20,20,10,10,5,6,7,6,5,5,5,5,2,4,4,10,2,10,10,5,,5,7,3,,,,,,,,,
859,3,1,0.39,1,0,0,0,0,20,25,15,15,53,20,3,6,,5,6,5,4,6,2,1,5,5,5,8,7,8,8,3,5,4,10,20,25,10,10,25,0,1,
860,3,6,-0.04,1,0,0,0,0,20,15,20,20,5,10,0,6,5,4,3,2,1,5,2,1,5,5,6,8,7,8,7,3,5,4,10,20,25,10,10,25,0,1,
861,3,1,0.8,1,0,0,0,0,21,17,22,20,8,13,4,6,6,5,5,2,5,0,2,1,5,5,7,7,8,7,8,6,5,3,10,20,25,10,10,25,0,1,
862,3,0,-0.18,1,1,0,1,0,50,10,30,10,0,0,2,8,8,4,6,3,4,4,2,1,5,5,8,8,8,8,8,5,8,4,10,20,25,10,10,25,0,1,
863,3,2,0.14,1,1,0,0,0,25,10,20,20,15,10,5,8,9,7,5,5,6,2,2,1,5,5,6,5,6,8,8,4,5,2,10,20,25,10,10,25,0,1,
864,3,7,-0.47,1,1,1,1,1,60,15,0,15,0,10,6,6,8,7,7,2,8,0,2,1,5,5,6,9,8,8,8,5,6,4,10,20,25,10,10,25,0,1,
865,3,6,0.41,1,1,0,0,0,21,20,19,20,10,10,5,8,7,5,6,5,6,7,2,1,5,5,7,7,8,8,8,5,6,4,10,20,25,10,10,25,0,1,
866,3,6,-0.56,1,1,0,0,0,30,10,20,30,0,10,3,7,7,3,6,5,3,3,,1,5,5,6,5,7,8,9,4,4,2,10,20,25,10,10,25,0,1,
867,3,3,0.53,1,1,0,0,0,30,0,30,30,10,0,5,9,10,7,8,7,7,6,2,1,5,5,5,8,8,8,7,4,7,5,10,20,25,10,10,25,0,1,
868,3,4,0.28,1,0,1,1,1,20,20,20,20,10,10,6,7,8,6,5,7,6,6,2,1,5,5,6,8,8,8,8,5,7,4,10,20,25,10,10,25,0,1,
869,3,3,0.27,1,1,0,0,1,20,25,15,15,53,20,9,8,8,8,7,5,8,5,2,2,5,1,6,7,7,7,8,6,6,7,50,10,10,10,10,10,,,
870,3,4,0.26,1,0,1,1,1,20,15,20,20,5,10,10,10,10,10,10,10,10,10,1,2,5,1,8,9,9,9,8,8,8,8,50,10,10,10,10,10,,,
871,3,1,0.17,1,0,0,0,1,21,17,22,20,8,13,8,7,6,5,5,4,7,3,2,2,5,1,6,7,7,5,6,6,6,5,50,10,10,10,10,10,,,
872,3,2,0.31,1,0,1,1,1,50,10,30,10,0,0,8,6,8,6,7,,7,4,2,2,5,1,8,8,8,8,8,8,8,8,50,10,10,10,10,10,,,
873,3,0,0.37,1,0,0,0,0,25,10,20,20,15,10,8,6,7,5,6,7,7,2,2,2,5,1,7,7,8,7,8,7,7,7,50,10,10,10,10,10,,,
874,3,5,0.14,1,0,0,0,0,60,15,0,15,0,10,10,6,8,10,6,,9,0,2,2,5,1,7,8,8,7,8,8,8,8,50,10,10,10,10,10,,,
875,3,4,0.33,1,0,0,0,1,21,20,19,20,10,10,7,7,7,7,7,7,7,5,2,2,5,1,7,7,6,6,7,7,7,7,50,10,10,10,10,10,,,
876,3,4,0.14,1,0,0,0,1,30,10,20,30,0,10,7,7,7,6,5,5,7,6,2,2,5,1,7,8,8,7,9,7,7,8,50,10,10,10,10,10,,,
877,3,1,0.21,1,0,1,1,1,30,0,30,30,10,0,10,9,9,9,7,8,9,6,2,2,5,1,6,8,8,7,7,8,7,7,50,10,10,10,10,10,,,
878,3,2,0.26,1,0,0,0,1,20,20,20,20,10,10,6,5,6,4,5,5,6,5,2,2,5,1,7,7,8,6,8,6,6,7,50,10,10,10,10,10,,,
879,3,5,0.17,1,0,0,1,0,20,25,15,15,53,20,2,6,7,5,6,4,5,6,2,3,6,2,2,7,7,5,4,2,6,5,20,0,30,50,0,0,0,0,
880,3,2,0.03,1,0,1,1,1,20,15,20,20,5,10,5,5,5,5,5,5,5,5,1,3,6,2,7,7,7,5,5,5,7,5,20,0,30,50,0,0,0,0,
881,3,3,0.41,1,0,0,1,0,21,17,22,20,8,13,4,7,7,6,5,3,6,5,2,3,6,2,7,7,8,5,5,5,6,3,20,0,30,50,0,0,0,0,
882,3,4,0.02,1,0,0,1,0,50,10,30,10,0,0,1,6,8,7,9,,5,3,2,3,6,2,6,7,8,5,6,5,6,5,20,0,30,50,0,0,0,0,
883,3,2,0.63,1,0,0,1,0,25,10,20,20,15,10,5,7,9,7,5,4,7,2,2,3,6,2,6,6,9,8,8,5,8,4,20,0,30,50,0,0,0,0,
884,3,3,-0.32,1,0,0,0,0,60,15,0,15,0,10,6,4,6,7,,,5,0,2,3,6,2,1,7,5,3,5,1,1,1,20,0,30,50,0,0,0,0,
885,3,2,0.21,1,0,0,0,0,21,20,19,20,10,10,5,8,8,5,7,6,6,6,2,3,6,2,3,8,5,3,7,1,1,3,20,0,30,50,0,0,0,0,
886,3,2,-0.23,1,0,0,0,0,30,10,20,30,0,10,4,8,7,6,7,5,2,7,2,3,6,2,4,5,5,5,8,5,3,1,20,0,30,50,0,0,0,0,
887,3,1,0.59,1,0,0,0,0,30,0,30,30,10,0,7,8,7,7,3,5,6,3,2,3,6,2,3,8,8,7,8,3,5,5,20,0,30,50,0,0,0,0,
888,3,0,0.16,1,0,0,0,0,20,20,20,20,10,10,5,6,6,7,6,5,5,5,2,3,6,2,3,7,4,2,3,2,3,5,20,0,30,50,0,0,0,0,
889,3,2,-0.07,6,0,0,1,0,20,25,15,15,53,20,4,6,6,5,4,4,4,5,2,2,3,2,7,7,8,6,8,5,7,5,15,20,20,15,15,15,1,1,
890,3,5,0.39,6,0,0,1,0,20,15,20,20,5,10,6,6,8,6,7,6,6,5,2,2,3,2,7,7,7,6,5,5,6,5,15,20,20,15,15,15,1,1,
891,3,0,0.03,6,0,0,0,0,21,17,22,20,8,13,3,4,6,3,7,2,4,0,2,2,3,2,4,5,7,4,5,3,4,2,15,20,20,15,15,15,1,1,
892,3,1,-0.18,6,0,0,1,0,50,10,30,10,0,0,4,6,8,4,9,1,4,3,2,2,3,2,7,7,8,6,4,4,7,5,15,20,20,15,15,15,1,1,
893,3,1,0.34,6,0,0,0,0,25,10,20,20,15,10,6,6,9,6,6,5,6,2,2,2,3,2,5,6,8,6,8,4,5,3,15,20,20,15,15,15,1,1,
894,3,6,-0.05,6,0,0,1,0,60,15,0,15,0,10,7,7,9,8,8,5,6,0,2,2,3,2,5,6,6,4,7,5,6,4,15,20,20,15,15,15,1,1,
895,3,5,0.07,6,0,0,1,0,21,20,19,20,10,10,6,7,8,4,7,6,5,5,2,2,3,2,6,6,7,6,6,6,6,4,15,20,20,15,15,15,1,1,
896,3,5,-0.01,6,0,0,1,0,30,10,20,30,0,10,3,7,6,6,5,5,3,1,2,2,3,2,6,6,7,6,5,4,5,3,15,20,20,15,15,15,1,1,
897,3,2,0.15,6,0,0,0,1,30,0,30,30,10,0,8,7,7,9,6,8,8,7,2,2,3,2,6,6,6,5,6,4,5,4,15,20,20,15,15,15,1,1,
898,3,3,-0.17,6,0,1,1,1,20,20,20,20,10,10,6,6,7,5,6,5,6,7,2,2,3,2,8,6,8,5,8,5,6,5,15,20,20,15,15,15,1,1,
899,3,6,0.48,6,0,0,0,1,20,25,15,15,53,20,8,8,8,8,6,8,8,7,2,2,7,10,6,7,8,7,8,6,6,6,17,17,17,17,17,17,0,0,
900,3,1,-0.43,6,1,0,0,1,20,15,20,20,5,10,7,6,7,8,7,7,6,5,2,2,7,10,6,7,7,7,7,6,6,5,17,17,17,17,17,17,0,0,
901,3,4,0.65,6,0,0,0,0,21,17,22,20,8,13,6,7,6,7,5,3,6,5,2,2,7,10,7,7,7,7,7,6,6,5,17,17,17,17,17,17,0,0,
902,3,5,-0.2,6,0,0,0,0,50,10,30,10,0,0,5,6,5,8,6,2,5,4,2,2,7,10,7,7,7,7,8,6,6,6,17,17,17,17,17,17,0,0,
903,3,3,0.02,6,0,0,0,0,25,10,20,20,15,10,7,7,7,7,7,8,7,3,2,2,7,10,7,7,8,7,7,6,6,5,17,17,17,17,17,17,0,0,
904,3,2,-0.37,6,0,0,0,1,60,15,0,15,0,10,8,8,9,9,8,6,7,1,2,2,7,10,5,7,7,5,7,5,5,4,17,17,17,17,17,17,0,0,
905,3,1,0.45,6,0,0,0,0,21,20,19,20,10,10,5,7,7,7,6,7,7,7,2,2,7,10,7,7,7,7,6,7,6,5,17,17,17,17,17,17,0,0,
906,3,1,-0.63,6,0,0,0,0,30,10,20,30,0,10,6,8,7,7,6,5,6,5,2,2,7,10,7,7,7,8,8,5,6,6,17,17,17,17,17,17,0,0,
907,3,2,0.35,6,0,0,0,0,30,0,30,30,10,0,7,9,8,9,5,6,6,3,2,2,7,10,7,7,7,7,7,5,6,6,17,17,17,17,17,17,0,0,
908,3,1,0.5,6,1,0,0,1,20,20,20,20,10,10,6,7,6,8,6,5,6,7,2,2,7,10,5,8,7,6,8,5,5,4,17,17,17,17,17,17,0,0,
909,3,6,0.26,1,0,0,1,0,17,18,18,15,17,15,2,6,2,3,2,3,2,5,2,2,5,3,7,6,6,7,9,5,6,6,20,20,20,20,10,10,,,
910,3,7,0.23,1,0,0,0,0,10,20,20,20,15,15,8,7,7,7,7,7,8,7,2,2,5,3,4,7,7,6,6,5,5,5,20,20,20,20,10,10,,,
911,3,29,,1,0,0,1,0,,,,,,,4,9,9,8,8,5,5,9,2,2,5,3,5,8,8,,9,8,7,6,20,20,20,20,10,10,,,
912,3,29,,1,0,0,0,0,,,,,,,,,,,,,,,,2,5,3,4,,,,,,,,20,20,20,20,10,10,,,
913,3,0,0.16,1,0,1,1,1,5,20,25,15,15,20,9,10,10,5,,,8,5,2,2,5,3,5,8,7,8,8,6,6,6,20,20,20,20,10,10,,,
914,3,1,0.39,1,0,0,0,0,15,15,20,15,15,20,5,8,7,8,8,3,5,4,2,2,5,3,3,6,,5,6,5,4,6,20,20,20,20,10,10,,,
915,3,3,0.27,1,1,0,1,0,30,10,20,20,10,10,6,7,7,7,8,6,6,7,2,2,5,3,9,8,8,8,7,5,8,5,20,20,20,20,10,10,,,
916,3,5,0.17,1,0,0,0,1,5,15,45,25,0,10,2,7,7,5,4,2,6,5,2,2,5,3,2,6,7,5,6,4,5,6,20,20,20,20,10,10,,,
917,3,2,-0.07,1,0,0,0,1,10,25,25,10,10,20,7,7,8,6,8,5,7,5,2,2,5,3,4,6,6,5,4,4,4,5,20,20,20,20,10,10,,,
918,3,6,0.48,1,0,0,1,0,17,17,17,17,17,15,6,7,8,7,8,6,6,6,2,2,5,3,8,8,8,8,6,8,8,7,20,20,20,20,10,10,,,
919,3,1,-0.15,1,0,0,1,0,17,18,18,15,17,15,3,9,9,7,9,7,5,6,2,6,5,1,8,8,7,7,7,5,7,5,30,10,10,30,10,10,,,
920,3,0,-0.01,1,0,0,0,0,10,20,20,20,15,15,8,8,8,7,8,1,5,5,2,6,5,1,5,10,7,5,4,1,5,1,30,10,10,30,10,10,,,
921,3,22,,1,0,0,0,1,,,,,,,7,7,8,5,,4,6,7,2,6,5,1,,,,,,,,,30,10,10,30,10,10,,,
922,3,22,,1,0,0,0,0,,,,,,,,,,,,,,,,6,5,1,,,,,,,,,30,10,10,30,10,10,,,
923,3,7,0.03,1,1,0,0,0,5,20,25,15,15,20,7,10,10,3,,3,4,2,2,6,5,1,6,6,5,10,7,6,6,5,30,10,10,30,10,10,,,
924,3,6,-0.04,1,0,0,0,0,15,15,20,15,15,20,6,8,7,8,7,3,5,4,2,6,5,1,0,6,5,4,3,2,1,5,30,10,10,30,10,10,,,
925,3,4,0.26,1,0,1,1,1,30,10,20,20,10,10,8,9,9,9,8,8,8,8,1,6,5,1,10,10,10,10,10,10,10,10,30,10,10,30,10,10,,,
926,3,2,0.03,1,0,1,1,1,5,15,45,25,0,10,7,7,7,5,5,5,7,5,1,6,5,1,5,5,5,5,5,5,5,5,30,10,10,30,10,10,,,
927,3,5,0.39,1,0,0,0,1,10,25,25,10,10,20,7,7,7,6,5,5,6,5,2,6,5,1,6,6,8,6,7,6,6,5,30,10,10,30,10,10,,,
928,3,1,-0.43,1,1,0,1,0,17,17,17,17,17,15,6,7,7,7,7,6,6,5,2,6,5,1,7,6,7,8,7,7,6,5,30,10,10,30,10,10,,,
929,3,4,0.44,1,0,0,0,0,17,18,18,15,17,15,3,7,5,3,5,2,2,2,,5,5,2,6,4,5,6,4,3,5,0,25,10,20,20,5,20,,,
930,3,5,0.68,1,0,0,0,0,10,20,20,20,15,15,7,6,9,7,7,7,8,7,2,5,5,2,5,6,6,5,5,4,4,0,25,10,20,20,5,20,,,
931,3,27,,1,0,0,0,1,,,,,,,6,7,9,8,7,5,5,8,2,5,5,2,6,7,5,6,5,6,7,0,25,10,20,20,5,20,,,
932,3,27,,1,0,0,0,0,,,,,,,3,4,9,2,9,6,3,3,2,5,5,2,5,7,6,4,4,6,5,0,25,10,20,20,5,20,,,
933,3,2,0.28,1,0,0,0,0,5,20,25,15,15,20,5,1,9,1,1,1,2,1,2,5,5,2,3,6,5,4,6,4,4,5,25,10,20,20,5,20,,,
934,3,1,0.8,1,0,0,0,0,15,15,20,15,15,20,7,7,8,7,8,6,5,3,2,5,5,2,4,6,6,5,5,2,5,0,25,10,20,20,5,20,,,
935,3,1,0.17,1,0,0,1,0,30,10,20,20,10,10,6,7,7,5,6,6,6,5,2,5,5,2,8,7,6,5,5,4,7,3,25,10,20,20,5,20,,,
936,3,3,0.41,1,0,0,0,1,5,15,45,25,0,10,7,7,8,5,5,5,6,3,2,5,5,2,4,7,7,6,5,3,6,5,25,10,20,20,5,20,,,
937,3,0,0.03,1,0,0,0,0,10,25,25,10,10,20,4,5,7,4,5,3,4,2,2,5,5,2,3,4,6,3,7,2,4,0,25,10,20,20,5,20,,,
938,3,4,0.65,1,0,0,0,0,17,17,17,17,17,15,7,7,7,7,7,6,6,5,2,5,5,2,6,7,6,7,5,3,6,5,25,10,20,20,5,20,,,
939,3,5,-0.05,2,1,1,1,1,17,18,18,15,17,15,5,10,8,5,8,6,6,6,2,6,3,0,7,5,5,7,6,,6,4,60,5,15,15,0,0,2,0,
940,3,6,-0.31,2,1,0,0,0,10,20,20,20,15,15,9,8,7,8,9,9,9,7,2,6,3,0,4,7,7,5,5,,4,2,60,5,15,15,0,0,2,0,
941,3,28,,2,0,0,0,1,,,,,,,8,8,9,9,7,8,8,9,2,6,3,0,4,7,4,2,3,1,1,1,60,5,15,15,0,0,2,0,
942,3,28,,2,0,0,0,0,,,,,,,6,4,6,6,6,4,6,8,2,6,3,0,5,8,6,6,,4,6,4,60,5,15,15,0,0,2,0,
943,3,1,0.12,2,0,0,0,1,5,20,25,15,15,20,9,9,10,9,,4,9,6,2,6,3,0,4,7,7,4,4,,3,3,60,5,15,15,0,0,2,0,
944,3,0,-0.18,2,1,0,0,1,15,15,20,15,15,20,8,8,8,8,8,5,8,4,2,6,3,0,2,8,8,4,6,3,4,4,60,5,15,15,0,0,2,0,
945,3,2,0.31,2,0,1,1,1,30,10,20,20,10,10,8,8,8,8,8,8,8,8,2,6,3,0,8,6,8,6,7,,7,4,60,5,15,15,0,0,2,0,
946,3,4,0.02,2,0,0,0,1,5,15,45,25,0,10,6,7,8,5,6,5,6,5,2,6,3,0,1,6,8,7,9,,5,3,60,5,15,15,0,0,2,0,
947,3,1,-0.18,2,0,0,0,1,10,25,25,10,10,20,7,7,8,6,4,4,7,5,2,6,3,0,4,6,8,4,9,1,4,3,60,5,15,15,0,0,2,0,
948,3,5,-0.2,2,0,0,0,0,17,17,17,17,17,15,7,7,7,7,8,6,6,6,2,6,3,0,5,6,5,8,6,2,5,4,60,5,15,15,0,0,2,0,
949,3,3,0.07,5,1,1,1,1,17,18,18,15,17,15,4,7,9,9,10,7,9,9,2,5,3,2,8,6,7,7,7,5,8,3,30,10,20,20,10,10,,,
950,3,4,0.02,5,1,0,0,1,10,20,20,20,15,15,8,10,10,10,10,10,10,8,2,5,3,2,5,8,7,5,5,4,7,2,30,10,20,20,10,10,,,
951,3,26,,5,0,0,0,0,,,,,,,5,9,9,9,9,5,5,9,2,5,3,2,6,6,7,8,6,7,6,2,30,10,20,20,10,10,,,
952,3,26,,5,0,0,0,0,,,,,,,,,,,,,,,,5,3,2,,,,,,,,,30,10,20,20,10,10,,,
953,3,3,0.45,5,0,0,0,0,5,20,25,15,15,20,6,10,10,8,8,8,6,2,2,5,3,2,6,6,6,8,6,5,7,2,30,10,20,20,10,10,,,
954,3,2,0.14,5,1,0,0,0,15,15,20,15,15,20,6,5,6,8,8,4,5,2,2,5,3,2,5,8,9,7,5,5,6,2,30,10,20,20,10,10,,,
955,3,0,0.37,5,0,0,0,0,30,10,20,20,10,10,7,7,8,7,8,7,7,7,2,5,3,2,8,6,7,5,6,7,7,2,30,10,20,20,10,10,,,
956,3,2,0.63,5,0,0,0,1,5,15,45,25,0,10,6,6,9,8,8,5,8,4,2,5,3,2,5,7,9,7,5,4,7,2,30,10,20,20,10,10,,,
957,3,1,0.34,5,0,0,0,0,10,25,25,10,10,20,5,6,8,6,8,4,5,3,2,5,3,2,6,6,9,6,6,5,6,2,30,10,20,20,10,10,,,
958,3,3,0.02,5,0,0,0,0,17,17,17,17,17,15,7,7,8,7,7,6,6,5,2,5,3,2,7,7,7,7,7,8,7,3,30,10,20,20,10,10,,,
959,3,2,-0.37,6,1,0,1,0,17,18,18,15,17,15,3,10,8,6,7,7,5,10,2,5,9,5,9,8,8,10,9,6,8,1,70,20,0,10,0,0,,,
960,3,1,-0.34,6,1,1,1,1,10,20,20,20,15,15,10,9,9,8,8,7,8,7,2,5,9,5,6,9,8,6,8,6,9,3,70,20,0,10,0,0,,,
961,3,21,,6,0,1,1,1,,,,,,,6,8,9,5,9,7,7,9,2,5,9,5,6,7,6,8,9,6,6,2,70,20,0,10,0,0,,,
962,3,21,,6,0,0,0,0,,,,,,,,,,,,,,,,5,9,5,,,,,,,,,70,20,0,10,0,0,,,
963,3,8,-0.34,6,0,0,0,0,5,20,25,15,15,20,2,10,10,1,7,2,3,1,2,5,9,5,4,8,6,6,5,1,2,0,70,20,0,10,0,0,,,
964,3,7,-0.47,6,1,1,1,1,15,15,20,15,15,20,6,9,8,8,8,5,6,4,2,5,9,5,6,6,8,7,7,2,8,0,70,20,0,10,0,0,,,
965,3,5,0.14,6,0,0,0,0,30,10,20,20,10,10,7,8,8,7,8,8,8,8,2,5,9,5,10,6,8,10,6,,9,0,70,20,0,10,0,0,,,
966,3,3,-0.32,6,0,0,0,0,5,15,45,25,0,10,1,7,5,3,5,1,1,1,2,5,9,5,6,4,6,7,,,5,0,70,20,0,10,0,0,,,
967,3,6,-0.05,6,0,0,0,1,10,25,25,10,10,20,5,6,6,4,7,5,6,4,2,5,9,5,7,7,9,8,8,5,6,0,70,20,0,10,0,0,,,
968,3,2,-0.37,6,0,0,1,0,17,17,17,17,17,15,5,7,7,5,7,5,5,4,2,5,9,5,8,8,9,9,8,6,7,1,70,20,0,10,0,0,,,
969,3,1,0.65,8,1,0,1,0,17,18,18,15,17,15,3,10,5,3,5,4,3,10,2,5,7,9,7,8,7,5,7,5,6,7,22,17,17,17,10,17,0,0,
970,3,0,0.44,8,1,0,0,1,10,20,20,20,15,15,10,10,10,10,9,9,8,7,2,5,7,9,5,8,8,7,7,7,6,6,22,17,17,17,10,17,0,0,
971,3,22,,8,0,0,1,0,,,,,,,5,9,9,6,5,4,6,8,2,5,7,9,6,7,7,7,6,6,6,4,22,17,17,17,10,17,0,0,
972,3,22,,8,0,0,0,0,,,,,,,6,6,0,0,2,2,0,4,2,5,7,9,6,7,7,3,5,3,3,3,22,17,17,17,10,17,0,0,
973,3,7,0.61,8,0,0,0,0,5,20,25,15,15,20,10,4,8,1,1,3,3,1,2,5,7,9,5,8,7,6,5,5,5,6,22,17,17,17,10,17,0,0,
974,3,6,0.41,8,1,0,0,0,15,15,20,15,15,20,7,7,8,8,8,5,6,4,2,5,7,9,5,8,7,5,6,5,6,7,22,17,17,17,10,17,0,0,
975,3,4,0.33,8,0,0,1,0,30,10,20,20,10,10,7,7,6,6,7,7,7,7,,5,7,9,7,7,7,7,7,7,7,5,22,17,17,17,10,17,0,0,
976,3,2,0.21,8,0,0,0,0,5,15,45,25,0,10,3,8,5,3,7,1,1,3,2,5,7,9,5,8,8,5,7,6,6,6,22,17,17,17,10,17,0,0,
977,3,5,0.07,8,0,0,0,1,10,25,25,10,10,20,6,6,7,6,6,6,6,4,2,5,7,9,6,7,8,4,7,6,5,5,22,17,17,17,10,17,0,0,
978,3,1,0.45,8,0,0,0,0,17,17,17,17,17,15,7,7,7,7,6,7,6,5,2,5,7,9,5,7,7,7,6,7,7,7,22,17,17,17,10,17,0,0,
979,3,1,-0.31,7,1,0,0,1,17,18,18,15,17,15,4,10,9,8,9,7,6,8,2,6,2,4,7,7,6,5,4,5,5,5,50,10,10,25,5,0,,,
980,3,0,-0.58,7,1,0,0,1,10,20,20,20,15,15,10,10,10,10,10,9,8,7,2,6,2,4,6,8,6,6,6,5,5,6,50,10,10,25,5,0,,,
981,3,22,,7,0,0,0,0,,,,,,,4,8,8,7,8,4,4,8,2,6,2,4,5,7,7,6,6,5,4,4,50,10,10,25,5,0,,,
982,3,22,,7,0,0,0,0,,,,,,,,,,,,,,,,6,2,4,,,,,,,,,50,10,10,25,5,0,,,
983,3,7,-0.13,7,0,0,0,1,5,20,25,15,15,20,7,10,10,9,,4,8,4,2,6,2,4,4,7,6,6,7,5,5,7,50,10,10,25,5,0,,,
984,3,6,-0.56,7,1,0,0,0,15,15,20,15,15,20,6,5,7,8,9,4,4,2,2,6,2,4,3,7,7,3,6,5,3,3,50,10,10,25,5,0,,,
985,3,4,0.14,7,0,0,1,0,30,10,20,20,10,10,7,8,8,7,9,7,7,8,2,6,2,4,7,7,7,6,5,5,7,6,50,10,10,25,5,0,,,
986,3,2,-0.23,7,0,0,0,0,5,15,45,25,0,10,4,5,5,5,8,5,3,1,2,6,2,4,4,8,7,6,7,5,2,7,50,10,10,25,5,0,,,
